"FLOAT_NUM","CYCLE_NUMBER","CHLA_FINAL","CHLA_FINAL_QC","CHLA_FLUORESCENCE","CHLA_FLUORESCENCE_QC","CHLA_FLUORESCENCE_ADJUSTED","CHLA_FLUORESCENCE_ADJUSTED_QC","DOXY_FINAL","DOXY_FINAL_QC","PRES","CHLA","CHLA_ADJUSTED","DOXY","LONGITUDE","LATITUDE","MLD","MIN_FLUOCHLA_CYCLE1","MIN_FLUOCHLA_CYCLE2","MIN_FLUOCHLA_CYCLE3","MIN_FLUOCHLA_CYCLE4","MIN_FLUOCHLA_CYCLE5","MEDIAN_FIRST5","CHLA_NOLUT","NEAREST_INDICES","PHYSIO_RATIO","MATCHED_LAT","MATCHED_LON","SCALE_CHLA","DARK_CHLA","DATE_TIME","DOXY_SLOPE","DOXY_DRIFT"
"2904010",1,0.0307722686347052,5,0.0365,1,0.0365,1,201.972109585191,1,7.96000003814697,0.0364999994635582,0.0438000001013279,191.565200805664,-93.9537,26.0498,13.9084468515461,51,51,51,51,51,51,0.0365,8039,1.18613289235474,26,-94,0.0073,51,2025-05-22 23:25:29.002504,1.0543,1.13
"2904010",1,0.0246178149077642,5,0.0292,1,0.0292,1,202.531962696137,1,11.5900001525879,0.0292000006884336,0.0364999994635582,192.096206665039,-93.9537,26.0498,13.9084468515461,51,51,51,51,51,51,0.0292,8039,1.18613289235474,26,-94,0.0073,51,2025-05-22 23:25:29.002504,1.0543,1.13
"2904010",1,0.0184633611808231,1,0.0219,1,0.0219,1,202.85109505711,1,16.6200008392334,0.0219000000506639,0.0292000006884336,192.398895263672,-93.9537,26.0498,13.9084468515461,51,51,51,51,51,51,0.0219,8039,1.18613289235474,26,-94,0.0073,51,2025-05-22 23:25:29.002504,1.0543,1.13
"2904010",1,0.0123089074538821,1,0.0146,1,0.0146,1,203.223912183347,1,21.7000007629395,0.0146000003442168,0.0219000000506639,192.752502441406,-93.9537,26.0498,13.9084468515461,51,51,51,51,51,51,0.0146,8039,1.18613289235474,26,-94,0.0073,51,2025-05-22 23:25:29.002504,1.0543,1.13
"2904010",1,0.0246178149077642,1,0.0292,1,0.0292,1,204.001271445443,1,26.6200008392334,0.0292000006884336,0.0364999994635582,193.489807128906,-93.9537,26.0498,13.9084468515461,51,51,51,51,51,51,0.0292,8039,1.18613289235474,26,-94,0.0073,51,2025-05-22 23:25:29.002504,1.0543,1.13
"2904010",1,0.0184633611808231,1,0.0219,1,0.0219,1,206.446671223496,1,31.9200000762939,0.0219000000506639,0.0292000006884336,195.809204101562,-93.9537,26.0498,13.9084468515461,51,51,51,51,51,51,0.0219,8039,1.18613289235474,26,-94,0.0073,51,2025-05-22 23:25:29.002504,1.0543,1.13
"2904010",1,0.0246178149077642,1,0.0292,1,0.0292,1,207.345798537222,1,36.9000015258789,0.0292000006884336,0.0364999994635582,196.662002563477,-93.9537,26.0498,13.9084468515461,51,51,51,51,51,51,0.0292,8039,1.18613289235474,26,-94,0.0073,51,2025-05-22 23:25:29.002504,1.0543,1.13
"2904010",1,0.0307722686347052,1,0.0365,1,0.0365,1,207.701321350406,1,41.689998626709,0.0364999994635582,0.0438000001013279,196.999206542969,-93.9537,26.0498,13.9084468515461,51,51,51,51,51,51,0.0365,8039,1.18613289235474,26,-94,0.0073,51,2025-05-22 23:25:29.002504,1.0543,1.13
"2904010",1,0.0307722686347052,1,0.0365,1,0.0365,1,207.642585036955,1,46.5099983215332,0.0364999994635582,0.0438000001013279,196.943496704102,-93.9537,26.0498,13.9084468515461,51,51,51,51,51,51,0.0365,8039,1.18613289235474,26,-94,0.0073,51,2025-05-22 23:25:29.002504,1.0543,1.13
"2904010",1,0.0369267223616462,1,0.0438,1,0.0438,1,207.868633774367,1,51.4599990844727,0.0438000001013279,0.0511000007390976,197.157897949219,-93.9537,26.0498,13.9084468515461,51,51,51,51,51,51,0.0438,8039,1.18613289235474,26,-94,0.0073,51,2025-05-22 23:25:29.002504,1.0543,1.13
"2904010",1,0.0492356298155283,1,0.0584,1,0.0584,1,209.533633708774,1,56.6800003051758,0.0584000013768673,0.065700002014637,198.737106323242,-93.9537,26.0498,13.9084468515461,51,51,51,51,51,51,0.0584,8039,1.18613289235474,26,-94,0.0073,51,2025-05-22 23:25:29.002504,1.0543,1.13
